id,description_feature_1,description_feature_2,description_feature_3
23247806,Quiet area, Family-friendly, Spacious living areas  
23249384,Panoramic city views, Family-friendly, Quiet area  
22952251,Central location, Family-friendly, Good natural lighting  
22953070,Central location, Modern apartment, Rooftop terrace or balcony
22954891,Central location, Historic neighborhood, Near public transportation  
22958216,Pet-friendly, Central location, Cozy atmosphere  
22965293,Quiet area, Fully equipped kitchen, Spacious living areas  
22967713,Family-friendly, Near cultural attractions, Quiet area  
22978545,Family-friendly, Fully equipped kitchen, Near public transportation  
23258844,Quiet area, Cozy atmosphere, Central location  
23262282,Family-friendly, Near public transportation, Quiet area  
23263002,Central location, Close to restaurants and cafes, Modern apartment  
23263931,Panoramic city views, Central location, Quiet area  
23265494,Family-friendly, Close to the beach, Near public transportation
23268496,Near public transportation, Central location, Cozy atmosphere  
23269806,Close to the beach, Ideal for couples, Stylish and modern decor  
23271728,Family-friendly, Fully equipped kitchen, Quiet area  
23278873,Central location, Close to restaurants and cafes, Near public transportation  
22991301,Central location, Ideal for couples, Near major landmarks  
22991302,Family-friendly, Central location, Ideal for couples  
22994186,Central location, Unique architectural design, Rooftop terrace or balcony  
22998247,Central location, Business traveler-friendly, Includes high-speed WiFi  
23284398,Central location, Near cultural attractions, Close to shopping areas  
23284399,Central location, Fully equipped kitchen, Close to shopping areas
23284612,Cozy atmosphere, Suitable for solo travelers, Quiet street  
23292197,Modern apartment, Good natural lighting, Fully equipped kitchen  
23292573,Boutique apartment, Central location, Rooftop terrace or balcony  
23292833,Boutique apartment, Central location, Rooftop terrace or balcony  
23301371,Family-friendly, Good natural lighting, Rooftop terrace or balcony  
23305890,Cozy atmosphere, Pet-friendly, Near public transportation  
23000537,Central location, Ideal for couples, Cozy atmosphere  
23001940,Modern apartment, Good natural lighting, Stylish and modern decor  
23004383,Quiet area, Panoramic city views, Rooftop terrace or balcony  
23008401,Near public transportation, Budget-friendly, Cozy atmosphere
23008556,Cozy atmosphere, Good natural lighting, Budget-friendly  
23012707,Family-friendly, Spacious living areas, Central location  
23015354,Ideal for couples, Good natural lighting, Central location  
23015638,Perfect for extended stays, Panoramic city views, Quiet area  
23308409,none,,
23308853,Central location, Near public transportation, Close to shopping areas  
23309798,Business traveler-friendly, Close to public squares, Quiet area  
23316066,Ideal for couples, Central location, Near public transportation  
23316067,Central location, Close to restaurants and cafes, Good natural lighting  
23317712,Stylish and modern decor, Central location, Ideal for couples  
23320015,Luxury apartment, Includes high-speed WiFi, Ideal for couples
23334103,Central location, Near public transportation, Ideal for couples  
23338070,Near public transportation, Central location, Suitable for solo travelers  
23341085,Cozy atmosphere, Good natural lighting, Ideal for couples  
23030695,Quiet area, Good natural lighting, Near parks or green spaces  
23031576,Central location, Family-friendly, Close to restaurants and cafes  
23031619,Central location, Near public transportation, Family-friendly  
23033374,Flexible check-in, Central location, Suitable for solo travelers  
23038674,none,,
23050618,Central location, Near public transportation, Unique architectural design  
23346158,Near public transportation, Central location, Suitable for solo travelers  
23350753,Central location, Close to restaurants and cafes, Business traveler-friendly
23374935,Central location, Family-friendly, Near cultural attractions  
23386430,Quiet area, Close to restaurants and cafes, Near public transportation  
23394761,Private entrance, Near public transportation, Ideal for couples  
23396273,Historic neighborhood, Modern apartment, Unique architectural design  
23397314,none,,
23398192,Central location, Near public transportation, Close to major landmarks  
23409609,Near public transportation, Close to major landmarks, Convenient location  
23415329,Near public transportation, Close to shopping areas, Convenient location  
23430471,Panoramic city views, Modern apartment, Good natural lighting  
23051086,Central location, Near public transportation, Family-friendly  
23690277,Stylish and modern decor, Near major landmarks, Spacious living areas
23690532,Cozy atmosphere, Good natural lighting, Quiet area  
23691762,Central location, Family-friendly, Near public transportation  
23430603,Ideal for couples, Central location, Near cultural attractions  
23430868,Spacious living areas, Central location, Close to nightlife  
23431078,Ideal for couples, Central location, Private entrance  
23433992,Luxury apartment, Family-friendly, Modern apartment  
23435241,Quiet area, Business traveler-friendly, Flexible check-in  
23448129,Pet-friendly, Near public transportation, Good natural lighting  
23451393,Luxury apartment, Near major landmarks, Business traveler-friendly  
23452436,Modern apartment, Central location, Rooftop terrace or balcony
23459704,Modern apartment, Near public transportation, Close to major landmarks  
23462402,Cozy atmosphere, Suitable for solo travelers, Walkable neighborhood  
23692077,Luxury apartment, Near cultural attractions, Central location  
23693686,Good natural lighting, Cozy atmosphere, Rooftop terrace or balcony  
23694336,none,,
23710638,Good natural lighting, Cozy atmosphere, Suitable for solo travelers  
23718657,Central location, Close to restaurants and cafes, Fully equipped kitchen  
23737219,Artsitic atmosphere, Central location, Unique architectural design  
23737826,Family-friendly, Near public transportation, Close to major landmarks  
23748242,none,,
23756522,Cozy atmosphere, Warm and relaxing ambiance, Ideal for couples  
23759457,Luxury apartment, Central location, Includes high-speed WiFi
23761904,Family-friendly, Fully equipped kitchen, Includes cleaning service  
23769237,Central location, Near public transportation, Ideal for couples  
23463004,Near major landmarks, Panoramic city views, Fully equipped kitchen  
23463007,Near major landmarks, Budget-friendly, Fully equipped kitchen  
23479384,Cozy atmosphere, Modern apartment, Good natural lighting  
23481132,Safe neighborhood, Cozy atmosphere, Ideal for couples  
23481476,Artistic atmosphere, Near public transportation, Stylish and modern decor  
23492339,Family-friendly, Private entrance, Cozy atmosphere  
23494716,Safe neighborhood, Central location, Includes high-speed WiFi  
23500405,[No description provided],,
23511046,Central location, Near public transportation, Close to restaurants and cafes  
23512897,Quiet area, Family-friendly, Rooftop terrace or balcony  
23533196,Family-friendly, Panoramic city views, Central location  
23770749,Cozy atmosphere, Near public transportation, Suitable for solo travelers  
23779650,Cozy atmosphere, Close to local markets, Quiet street  
23785855,Central location, Budget-friendly, Good natural lighting  
23791776,Quiet area, Perfect for extended stays, Business traveler-friendly  
23797007,Near public transportation, Close to parks or green spaces, Cozy atmosphere  
23802379,Central location, Family-friendly, Near cultural attractions  
23804730,Central location, Family-friendly, Near major landmarks
23805819,Good natural lighting, Near public transportation, Panoramic city views  
23533455,Ideal for couples, Cozy atmosphere, Family-friendly  
23572241,Family-friendly, Near public transportation, Ideal for couples  
23577159,Central location, Family-friendly, Near public transportation  
23586517,Central location, Charming old-town vibe, Near local markets  
23586943,Central location, Historic neighborhood, Good natural lighting  
23595865,Central location, Near public transportation, Modern apartment  
23609083,none,,
23621398,Family-friendly, Fully equipped kitchen, Good natural lighting  
23625269,Family-friendly, Perfect for groups of friends, Cozy atmosphere  
23638419,Family-friendly, Near major landmarks, Convenient location
23814991,Central location, Near public transportation, Close to major landmarks  
23822755,Central location, Close to restaurants and cafes, Cozy atmosphere  
23836924,Quiet area, Nearby parks or green spaces, Close to cultural attractions  
23641987,Luxury apartment, Central location, Stylish and modern decor  
23645225,Historic neighborhood, Central location, Close to shopping areas  
23645698,Central location, Family-friendly, Fully equipped kitchen  
23648479,none,,
23649134,Central location, Suitable for solo travelers, Near public transportation  
23657604,Panoramic city views, Ideal for couples, Near public transportation  
23658361,Ideal for couples, Perfect for extended stays, Close to major landmarks  
23658589,Charming old-town vibe, Good natural lighting, Close to nightlife
23853965,Central location, Near public transportation, Historic neighborhood  
23865960,Central location, Modern apartment, Ideal for couples  
23866376,Central location, Modern apartment, Ideal for couples  
23866920,Panoramic city views, Luxury apartment, Ideal for couples  
23873077,Central location, Ideal for couples, Business traveler-friendly  
23874036,Family-friendly, Near public transportation, Close to restaurants and cafes  
23661273,Quiet area, Modern apartment, Near public transportation  
23664180,Central location, Includes high-speed WiFi, Perfect for digital nomads  
23674529,Central location, Ideal for couples, Quiet area  
23681353,Central location, Quiet area, Close to restaurants and cafes
23681623,Central location, Close to restaurants and cafes, Near public transportation  
23685032,Near parks or green spaces, Cozy atmosphere, Ideal for couples  
23685724,Good natural lighting, Quiet area, Near public transportation  
24323897,Modern apartment, Central location, Unique architectural design  
24324089,Perfect for extended stays, Modern apartment, Central location  
23887963,Panoramic city views, Near major landmarks, Good natural lighting  
23893953,Suitable for solo travelers, Cozy atmosphere, Safe neighborhood  
23901684,Budget-friendly, Near major landmarks, Close to public transportation  
23910668,Near public transportation, Close to shopping areas, Cozy atmosphere  
24324367,Modern apartment, Central location, Fully equipped kitchen
24324746,Central location, Near cultural attractions, Cozy atmosphere  
24327366,Central location, Near public transportation, Perfect for extended stays  
24333231,Family-friendly, Near public transportation, Close to beaches  
24339475,Central location, Near cultural attractions, Cozy atmosphere  
24341066,Quiet area, Safe neighborhood, Business traveler-friendly  
24343358,Charming old-town vibe, Near cultural attractions, Stylish and modern decor  
24343601,Charming old-town vibe, Near cultural attractions, Stylish and modern decor  
24344024,Central location, Modern apartment, Rooftop terrace or balcony  
23911420,Cozy atmosphere, Fully equipped kitchen, Pet-friendly  
23919529,Near major landmarks, Cozy atmosphere, Modern apartment
23930222,Family-friendly, Ideal for couples, Central location  
23931051,none,,
23931083,none,,
23931086,none,,
24346762,Near public transportation, Stylish and modern decor, Quiet area  
24347707,House rules, Quiet area, Family-friendly  
24348022,Good natural lighting, Near public transportation, Cozy atmosphere  
24355737,Central location, Close to nightlife, Perfect for extended stays  
24364911,Cozy atmosphere, Near public transportation, Close to restaurants and cafes  
24369154,Central location, Family-friendly, Perfect for extended stays  
24374247,Suitable for solo travelers, Budget-friendly, Includes breakfast  
24376264,Family-friendly, Near public transportation, Suitable for solo travelers  
23931124,none,,
23931152,none,,
23931201,none,,
23931258,none,,
23931327,none,,
23931360,none,,
23931452,none,,
23931481,none,,
24390559,Central location, Cozy atmosphere, Ideal for couples
24398073,Modern apartment, Close to major landmarks, Good natural lighting  
24418125,Charming old-town vibe, Historic neighborhood, Cozy atmosphere  
24424717,Panoramic city views, Near cultural attractions, Quiet area  
24437496,Budget-friendly, Trendy area, Family-friendly  
24438591,Cozy atmosphere, Ideal for couples, Near public transportation  
24440137,Near public transportation, Budget-friendly, Safe neighborhood  
24448278,Fully equipped kitchen, Good natural lighting, Modern apartment  
23931498,none,,
23932565,Central location, Near public transportation, Cozy atmosphere  
23964555,Luxury apartment, Rooftop terrace or balcony, Central location  
23971317,Family-friendly, Spacious living areas, Central location
24448279,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448280,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448286,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448287,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448291,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448292,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448297,Family-friendly, Fully equipped kitchen, Good natural lighting  
24448299,Family-friendly, Fully equipped kitchen, Good natural lighting  
23974236,Near public transportation, Central location, Quiet area  
23976170,Central location, Near public transportation, Near cultural attractions
24448306,Family-friendly, Fully equipped kitchen, Quiet area  
24448871,Modern apartment, Family-friendly, Quiet area  
24448873,Modern apartment, Near public transportation, Near cultural attractions  
24448877,Family-friendly, Close to restaurants and cafes, Quiet area  
24448882,Cozy atmosphere, Family-friendly, Close to restaurants and cafes  
24448886,Modern apartment, Quiet area, Near public transportation  
24448889,Family-friendly, Fully equipped kitchen, Spacious living areas  
23985594,Central location, Near public transportation, Quiet area  
23986343,Central location, Near public transportation, Historic neighborhood  
23987370,Modern apartment, Central location, Quiet area
23988756,Central location, Near cultural attractions, Cozy atmosphere  
23989175,Central location, Ideal for couples, Good natural lighting  
23989315,Perfect for extended stays, Fully equipped kitchen, Central location  
24452457,Quiet area, Near public transportation, Good natural lighting  
24464487,Panoramic city views, Central location, Family-friendly  
24465326,Central location, Modern apartment, Perfect for extended stays  
24465371,Central location, Business traveler-friendly, Fully equipped kitchen  
24465403,Central location, Luxury apartment, Fully equipped kitchen  
24465422,Central location, Luxury apartment, Fully equipped kitchen  
24465924,Family-friendly, Central location, Fully equipped kitchen
23990630,Central location, Cozy atmosphere, Ideal for couples  
23990807,Central location, Good natural lighting, Cozy atmosphere  
24010679,Modern apartment, Near public transportation, Stylish and modern decor  
24011492,Central location, Ideal for couples, Close to restaurants and cafes  
24481662,Budget-friendly, Central location, Close to shopping areas  
24483048,Central location, Modern apartment, Cozy atmosphere  
24483306,Central location, Modern apartment, Cozy atmosphere  
24485279,Family-friendly, Central location, Near public transportation  
24486669,Family-friendly, Near major landmarks, Quiet area  
24493402,Central location, Ideal for couples, Close to nightlife
24493534,Central location, Near public transportation, Charming old-town vibe  
24507118,Family-friendly, Near public transportation, Close to restaurants and cafes  
24025489,none,,
24027579,Modern apartment, Near public transportation, Includes high-speed WiFi  
24032849,Near public transportation, Close to the beach, Ideal for couples  
24033028,Family-friendly, Central location, Close to major landmarks  
24054263,none,,
24061388,Stylish and modern decor, Good natural lighting, Cozy atmosphere  
24070207,Good natural lighting, Cozy atmosphere, Family-friendly  
24075696,Near public transportation, Spacious living areas, Ideal for couples  
24077062,Central location, Luxury apartment, Close to major landmarks  
24520554,Luxury apartment, Near major landmarks, Stylish and modern decor
24520967,Family-friendly, Fully equipped kitchen, Central location  
24533264,Cozy atmosphere, Central location, Safe neighborhood  
24533436,Cozy atmosphere, Suitable for solo travelers, Ideal for couples  
24534785,Stylish and modern decor, Fully equipped kitchen, Central location  
24539639,Central location, Near public transportation, Cozy atmosphere  
24549572,Central location, Walkable neighborhood, Cozy atmosphere  
24550964,Artistic atmosphere, Central location, Ideal for couples  
24077307,Luxury apartment, Central location, Stylish and modern decor  
24077510,Luxury apartment, Central location, Stylish and modern decor  
24077783,Charming old-town vibe, Central location, Near cultural attractions
24084921,Near public transportation, Quiet area, Nearby parks or green spaces  
24088550,Cozy atmosphere, Ideal for couples, Private entrance  
24093404,Budget-friendly, Ideal for couples, Quiet area  
24566352,Near public transportation, Close to cultural attractions, Includes breakfast  
24589082,Modern apartment, Spacious living areas, Rooftop terrace or balcony  
24589238,none,,
24589414,Business traveler-friendly, Luxury apartment, Stylish and modern decor  
24589494,Business traveler-friendly, Stylish and modern decor, Cozy atmosphere  
24589526,Modern apartment, Includes high-speed WiFi, Close to shopping areas  
24590001,Boutique apartment, Stylish and modern decor, Panoramic city views  
24590016,Unique architectural design, Stylish and modern decor, Near public transportation
24098604,Central location, Near public transportation, Close to restaurants and cafes  
24109664,Good natural lighting, Modern apartment, Cozy atmosphere  
24126151,Central location, Pet-friendly, Close to restaurants and cafes  
24133214,Central location, Quiet area, Close to shopping areas  
24136809,Family-friendly, Warm and relaxing ambiance, Central location  
24137919,Near cultural attractions, Central location, Good natural lighting  
24590131,Stylish and modern decor, Luxury apartment, Includes cleaning service  
24615965,Quiet area, Near a river or waterfront, Family-friendly  
24619175,none,,
24626723,Unique architectural design, Charming old-town vibe, Quiet area  
24627138,Near a river or waterfront, Cozy atmosphere, Ideal for couples
24631041,Family-friendly, Near public transportation, Close to restaurants and cafes  
24672191,Central location, Safe neighborhood, Family-friendly  
24677555,Historic neighborhood, Unique architectural design, Cozy atmosphere  
24678031,Near public transportation, Kid-friendly amenities, Close to local markets  
24138826,Central location, Good natural lighting, Rooftop terrace or balcony  
24142949,Central location, Quiet area, Fully equipped kitchen  
24156044,Safe neighborhood, Cozy atmosphere, Suitable for solo travelers  
24167970,Family-friendly, Central location, Luxury apartment  
24169610,Central location, Near cultural attractions, Close to nightlife  
24171575,Good natural lighting, Cozy atmosphere, Close to restaurants and cafes
24172852,Business traveler-friendly, Stylish and modern decor, Fully equipped kitchen  
24178710,Central location, Good natural lighting, Cozy atmosphere  
24182740,none,,
24686801,Ideal for solo travelers, Near public transportation, Family-friendly  
24693627,Cozy atmosphere, Quiet area, Perfect for extended stays  
24694493,Central location, Panoramic city views, Stylish and modern decor  
24722608,Family-friendly, Ideal for couples, Includes high-speed WiFi  
24722855,Family-friendly, Near public transportation, Modern apartment  
24745439,Central location, Business traveler-friendly, Good natural lighting  
24746611,Cozy atmosphere, Good natural lighting, Quiet area  
24747541,Central location, Panoramic city views, Rooftop terrace or balcony
24747942,Central location, Near public transportation, Close to restaurants and cafes  
24190602,Near public transportation, Family-friendly, Panoramic city views  
24193951,Family-friendly, Spacious living areas, Rooftop terrace or balcony  
24196303,Family-friendly, Rooftop terrace or balcony, Cozy atmosphere  
24196638,Cozy atmosphere, Good natural lighting, Ideal for couples  
24213456,none,,
24217669,Luxury apartment, Unique architectural design, Quiet area  
24218608,Modern apartment, Central location, Quiet area  
24748967,Central location, Good natural lighting, Near public transportation  
24754917,Quiet area, Near public transportation, Close to local markets  
24772424,Quiet area, Near public transportation, Cozy atmosphere
24774150,none,,
24796633,Perfect for extended stays, Stylish and modern decor, Central location  
24797878,Family-friendly, Spacious living areas, Close to major landmarks  
24818217,Modern apartment, Close to the beach, Stylish and modern decor  
24826720,Quiet area, Panoramic city views, Cozy atmosphere  
24834970,Quiet area, Near public transportation, Family-friendly  
24840696,Close to the beach, Family-friendly, Includes cleaning service  
24225545,Central location, Close to public squares, Suitable for solo travelers  
24226912,Family-friendly, Cozy atmosphere, Budget-friendly  
24231425,none,,
24236930,Close to restaurants and cafes, Vibrant neighborhood, Good natural lighting  
24238187,none,,
24238588,Fully equipped kitchen, Includes cleaning service, Cozy atmosphere
24239102,Quiet area, Near public transportation, Close to local markets  
24249840,Historic neighborhood, Near public transportation, Close to major landmarks  
24257237,Stylish and modern decor, Good natural lighting, Fully equipped kitchen  
24267805,Unique travel experience, Close to restaurants and cafes, Suitable for solo travelers  
24846622,Quiet area, Nearby parks or green spaces, Ideal for couples  
24865535,Cozy atmosphere, Budget-friendly, Suitable for solo travelers  
24877030,Walkable neighborhood, Close to major landmarks, Pet-friendly  
24898571,Business traveler-friendly, Budget-friendly, Flexible check-in  
24903404,none,,
24903558,Modern apartment, Good natural lighting, Includes high-speed WiFi  
24908092,Modern apartment, Good natural lighting, Includes high-speed WiFi
24928796,Modern apartment, Good natural lighting, Includes high-speed WiFi  
24929443,Modern apartment, Good natural lighting, Includes high-speed WiFi  
24929992,Modern apartment, Good natural lighting, Includes high-speed WiFi  
24274447,Cozy atmosphere, Pet-friendly, Close to restaurants and cafes  
24274635,Central location, Close to local markets, Good natural lighting  
24281016,Quiet area, Near public transportation, Suitable for solo travelers  
24295747,Cozy atmosphere, Fully equipped kitchen, Good natural lighting  
24305496,Good natural lighting, Private entrance, Near public transportation  
24306543,Central location, Panoramic city views, Near public transportation  
24310385,Cozy atmosphere, Ideal for couples, Near public transportation
24323698,Central location, Near cultural attractions, Stylish and modern decor  
24978503,Central location, Modern apartment, Cozy atmosphere  
24978618,none,,
24933050,Good natural lighting, Modern apartment, Includes high-speed WiFi  
24933903,Good natural lighting, Modern apartment, Includes high-speed WiFi  
24935624,Central location, Near public transportation, Cozy atmosphere  
24935741,Central location, Ideal for couples, Perfect for extended stays  
24956546,Quiet area, Perfect for extended stays, Close to local markets  
24957190,Central location, Near public transportation, Ideal for couples  
24959620,Good natural lighting, Modern apartment, Includes high-speed WiFi  
24960097,Central location, Cozy atmosphere, Family-friendly
24978663,Central location, Unique architectural design, Cozy atmosphere  
24991162,Quiet area, Family-friendly, Budget-friendly  
25014625,Good natural lighting, Charming old-town vibe, Central location  
25021120,Quiet area, Close to restaurants and cafes, Family-friendly  
24974193,Family-friendly, Perfect for digital nomads, Business traveler-friendly  
24975002,Perfect for extended stays, Near public transportation, Family-friendly  
25938215,Central location, Modern apartment, Family-friendly  
25952623,Central location, Close to shopping areas, Near public transportation  
25954837,Quiet area, Business traveler-friendly, Includes high-speed WiFi  
25959485,Close to cultural attractions, Near public transportation, Stylish and modern decor
25025836,Eco-friendly features, Near public transportation, Fully equipped kitchen  
25041609,Cozy atmosphere, Suitable for solo travelers, Good natural lighting  
25050324,Near public transportation, Quiet area, Close to shopping areas  
25051793,Quiet area, Cozy atmosphere, Good natural lighting  
25959890,Modern apartment, Good natural lighting, Close to shopping areas  
25971153,Central location, Modern apartment, Good natural lighting  
25972657,Ideal for couples, Cozy atmosphere, Unique architectural design  
25986448,Central location, Near public transportation, Includes breakfast  
25988063,Family-friendly, Central location, Includes breakfast  
25992525,none,,
25992598,Family-friendly, Central location, Includes breakfast
25994542,Central location, Near public transportation, Quiet area  
25996203,Central location, Perfect for solo travelers, Includes high-speed WiFi  
25061570,Modern apartment, Close to restaurants and cafes, Near public transportation  
25066990,Quiet area, Panoramic city views, Close to local markets  
25070757,Central location, Near cultural attractions, Close to restaurants and cafes  
25074504,Quiet area, Luxury apartment, Nearby parks or green spaces  
25088459,Central location, Fully equipped kitchen, Close to public squares  
25997139,Central location, Includes high-speed WiFi, Good natural lighting  
25999765,Central location, Near public transportation, Suitable for solo travelers  
26000199,Compact and efficient studio, Budget-friendly, Close to public transportation
26008844,Family-friendly, Ideal for couples, Modern apartment  
26015555,Perfect for extended stays, Near educational institutions, Close to restaurants and cafes  
26018470,Suitable for solo travelers, Quiet area, Cozy atmosphere  
26024567,Ideal for couples, Stylish and modern decor, Central location  
26025102,Suitable for solo travelers, Cozy atmosphere, Good natural lighting  
26025302,Suitable for couples, Cozy atmosphere, Good natural lighting  
26028659,Central location, Quiet street, Close to restaurants and cafes  
25095031,Cozy atmosphere, Good natural lighting, Budget-friendly  
25095438,Central location, Near public transportation, Near major landmarks  
25109290,Historic neighborhood, Fully equipped kitchen, Perfect for extended stays
25118224,Historic neighborhood, Unique architectural design, Good natural lighting  
25118567,Historic neighborhood, Family-friendly, Central location  
25121122,Luxury apartment, Stylish and modern decor, Unique architectural design  
25121742,Central location, Near public transportation, Ideal for couples  
25122064,Central location, Family-friendly, Good natural lighting  
25122279,none,,
25122909,Panoramic city views, Near major landmarks, Close to public transportation  
25124052,Central location, Historic neighborhood, Fully equipped kitchen  
25162119,Unique architectural design, Cozy atmosphere, Spacious living areas  
26030039,Central location, Family-friendly, Ideal for couples  
26030842,Central location, Family-friendly, Ideal for couples
26043915,Central location, Near cultural attractions, Close to major landmarks  
26045992,Central location, Cozy atmosphere, Ideal for couples  
26081253,Cozy atmosphere, Fully equipped kitchen, Spacious living areas  
26096939,none,,
26105054,Central location, Close to restaurants and cafes, Near public transportation  
26112527,Near public transportation, Ideal for couples, Suitable for solo travelers  
26113709,Modern apartment, Cozy atmosphere, Includes high-speed WiFi  
26114499,none,,
25173870,Central location, Luxury apartment, Secure neighborhood  
25179726,Good natural lighting, Pet-friendly, Stylish and modern decor  
25186800,Central location, Includes high-speed WiFi, Good natural lighting  
25204415,Luxury apartment, Panoramic city views, Family-friendly
25225605,Good natural lighting, Cozy atmosphere, Ideal for couples  
25233509,Luxury apartment, Central location, Includes private parking  
25245586,Good natural lighting, Close to public transportation, Near the beach  
26114542,Panoramic city views, Good natural lighting, Stylish and modern decor  
26114578,Panoramic city views, Good natural lighting, Stylish and modern decor  
26114727,Family-friendly, Spacious living areas, Fully equipped kitchen  
26117184,none,,
26133785,none,,
26141985,Central location, Close to public transportation, Cozy atmosphere  
26181888,Luxury apartment, Close to major landmarks, Stylish and modern decor  
26212962,Spacious living areas, Central location, Good natural lighting  
26228944,Quiet area, Close to public transportation, Family-friendly
26247982,Good natural lighting, Modern apartment, Includes high-speed WiFi  
25279252,Near the beach, Family-friendly, Luxury apartment  
25284158,Central location, Near cultural attractions, Family-friendly  
25287690,Cozy atmosphere, Central location, Near cultural attractions  
25304839,Central location, Near public transportation, Good natural lighting  
25308748,Central location, Near public transportation, Spacious living areas  
25309658,Family-friendly, Spacious living areas, Suitable for solo travelers  
25311049,Quiet area, Cozy atmosphere, Suitable for solo travelers  
26248234,Central location, Close to restaurants and cafes, Ideal for couples  
26251981,Charming old-town vibe, Near the beach, Stylish and modern decor
26268142,Central location, Near public transportation, Close to restaurants and cafes  
26268920,Near educational institutions, Quiet area, Perfect for extended stays  
26297043,none,,
26312169,Near major landmarks, Near public transportation, Family-friendly  
26325850,Modern apartment, Ideal for couples, Cozy atmosphere  
26345650,Good natural lighting, Quiet street, Spacious living areas  
26347176,Central location, Complies with local regulations, Quiet area  
25315626,Central location, Close to restaurants and cafes, Good natural lighting  
25316604,Central location, Quiet area, Family-friendly  
25329519,Panoramic city views, Unique architectural design, Luxury apartment  
25330725,Near major landmarks, Near public transportation, Modern apartment
25334331,Charming old-town vibe, Close to local markets, Near cultural attractions  
25335202,Family-friendly, Modern apartment, Good natural lighting  
25337276,Eco-friendly features, Near public transportation, Cozy atmosphere  
25342123,Central location, Includes breakfast, Charming old-town vibe  
25342658,Modern apartment, Good natural lighting, Spacious living areas  
25342863,Central location, Family-friendly, Cozy atmosphere  
26359153,Near public transportation, Budget-friendly, Family-friendly  
26364987,Quiet area, Close to public transportation, Family-friendly  
26373373,Near public transportation, Cozy atmosphere, Ideal for couples  
26373550,none,,
26375868,Central location, Panoramic city views, Family-friendly
26377579,Central location, Good natural lighting, Cozy atmosphere  
26387235,Family-friendly, Central location, Near public transportation  
26387761,Family-friendly, Central location, Near public transportation  
26387879,Family-friendly, Central location, Near public transportation  
25351451,Central location, Near public transportation, Spacious living areas  
25353828,Central location, Cozy atmosphere, Perfect for extended stays  
25363675,Central location, Near cultural attractions, Close to restaurants and cafes  
25364321,Central location, Near cultural attractions, Close to restaurants and cafes  
25370803,Central location, Near cultural attractions, Cozy atmosphere  
25372941,Family-friendly, Central location, Near public transportation
25376628,Central location, Near public transportation, Pet-friendly  
25387196,Near cultural attractions, Central location, Modern apartment  
25402379,Historic neighborhood, Central location, Near public transportation  
25408427,none,,
25418032,Close to the beach, Near public transportation, Cozy atmosphere  
25438476,Cozy atmosphere, Family-friendly, Fully equipped kitchen  
26400467,Business traveler-friendly, Luxury apartment, Modern apartment  
26408688,Quiet area, Stylish and modern decor, Good natural lighting  
26409414,none,,
26411411,Central location, Near public transportation, Suitable for solo travelers  
26424071,Quiet area, Close to local markets, Near public transportation  
26424317,Central location, Near public transportation, Easy access to various transit lines
26426826,Central location, Near public transportation, Family-friendly  
26433396,Near public transportation, Close to restaurants and cafes, Perfect for extended stays  
26436015,Rooftop terrace or balcony, Good natural lighting, Ideal for couples  
25443015,Central location, Luxury apartment, Fully equipped kitchen  
25453308,Central location, Near cultural attractions, Surrounded by historic architecture  
25466336,Near public transportation, Close to the beach, With gym facilities  
25467406,Near educational institutions, Spacious living areas, Good natural lighting  
26436956,Modern apartment, Close to cultural attractions, Fully equipped kitchen  
26440758,Fully equipped kitchen, Good natural lighting, Family-friendly  
26468318,Eco-friendly features, Scenic walking routes nearby, Perfect for extended stays
26468420,Quiet area, Central location, Close to public squares
26468577,Central location, Historic neighborhood, Family-friendly
26486954,Near public transportation, Family-friendly, Quiet area
26519990,Eco-friendly features, Modern apartment, Cozy atmosphere
26545851,Modern apartment, Cozy atmosphere, Open-concept layout
25470605,Central location, Family-friendly, Near public transportation
25480861,Near major landmarks, Spacious living areas, Luxury apartment
25485414,Cozy atmosphere, Near major landmarks, Ideal for couples
25508901,Quiet area, Budget-friendly, Suitable for solo travelers
25510522,Central location, Family-friendly, Stylish and modern decor
26550311,Cozy atmosphere, Modern apartment, Eco-friendly features  
26550368,Central location, Good natural lighting, Ideal for couples  
26551159,Modern apartment, Good natural lighting, Rooftop terrace or balcony  
26551614,Eco-friendly features, Cozy atmosphere, Modern apartment  
26553608,Good natural lighting, Close to major landmarks, Ideal for couples  
26558608,(No description provided)  ,,
26560602,Quiet area, Close to restaurants and cafes, Good natural lighting  
26560638,Central location, Fully equipped kitchen, Cozy atmosphere  
25523861,Family-friendly, Good natural lighting, Central location  
25527218,Ideal for couples, Close to the beach, Perfect for extended stays
25528952,Central location, Ideal for couples, Suitable for solo travelers  
25531083,Budget-friendly, Includes breakfast, Flexible check-in  
25534932,Near public transportation, Close to restaurants and cafes, Nearby parks or green spaces  
25535752,Stylish and modern decor, Spacious living areas, Family-friendly  
26561889,Central location, Fully equipped kitchen, Budget-friendly  
26562206,none,,
26576725,Luxury apartment, Central location, Fully equipped kitchen  
26584756,Central location, Close to nightlife, Spacious living areas  
26595790,Family-friendly, Ideal for couples, Cozy atmosphere  
